Genes	CH01-06	CH01-14	CH01-22	CH01-38	CH03-04	CH03-15	CH03-33	CH05-01	CH05-06	CH05-07	CH05-09	CH05-14	CH05-21	CH05-29	CH07-04	CH07-06	CH07-08	CH07-11	CH07-24	CH09-02	CH09-13	CH09-28	CH10-08	CH10-11
M_mag.00g000740-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000750-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000760-v1.0.a1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0
M_mag.00g000770-v1.0.a1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
M_mag.00g000780-v1.0.a1	1	23	18	10	1	6	0	21	0	40	4	5	0	23	35	2	1	3	1	28	10	6	18	13
M_mag.00g000790-v1.0.a1	2	7	5	1	1	1	2	5	2	0	1	0	2	8	9	2	0	0	3	4	5	10	3	6
M_mag.00g000800-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
M_mag.00g000810-v1.0.a1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000820-v1.0.a1	3	4	3	4	5	0	0	4	4	8	1	7	4	3	13	2	3	4	3	3	2	3	5	3
M_mag.00g000830-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000840-v1.0.a1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
M_mag.00g000850-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000860-v1.0.a1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
M_mag.00g000870-v1.0.a1	0	1	0	0	0	0	0	3	2	3	2	0	0	1	2	0	0	0	0	0	0	0	0	0
M_mag.00g000880-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000890-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g000900-v1.0.a1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
M_mag.00g000910-v1.0.a1	0	4	7	0	0	0	0	2	0	0	0	1	0	0	6	0	2	0	0	2	1	5	3	1
M_mag.00g000920-v1.0.a1	12	61	9	16	27	37	16	7	7	15	37	47	25	15	13	14	81	19	17	1	0	20	16	14
M_mag.00g000930-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000940-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	4	0
M_mag.00g000950-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000960-v1.0.a1	25	59	7	26	27	7	9	12	17	30	9	36	20	16	6	16	46	31	19	17	5	14	25	3
M_mag.00g000970-v1.0.a1	28	59	4	44	48	21	42	8	6	24	26	26	26	14	14	43	56	35	49	14	11	13	31	24
M_mag.00g000980-v1.0.a1	0	0	8	4	4	1	1	9	1	11	4	0	0	0	5	4	0	4	6	13	1	3	0	0
M_mag.00g000990-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001000-v1.0.a1	59	52	33	81	84	35	31	37	32	22	9	55	20	18	20	48	81	106	25	61	17	17	55	53
M_mag.00g001010-v1.0.a1	3	9	0	0	8	0	2	3	0	2	0	5	0	2	2	6	6	1	4	0	1	0	3	9
M_mag.00g001020-v1.0.a1	3	2	0	0	5	1	0	2	0	5	2	0	1	2	5	2	0	0	2	1	1	0	1	3
M_mag.00g001030-v1.0.a1	0	4	0	7	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0
M_mag.00g001040-v1.0.a1	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001050-v1.0.a1	5	25	19	6	3	2	0	19	4	28	2	6	2	6	5	0	0	4	5	4	8	1	6	22
M_mag.00g001060-v1.0.a1	37	267	151	66	44	85	16	248	91	562	175	359	9	244	948	17	42	157	68	247	170	92	216	167
M_mag.00g001070-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001080-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001090-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001100-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	1	0	0	0	0	0	0	0
M_mag.00g001110-v1.0.a1	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	4	0	6	0	0
M_mag.00g001120-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001130-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
M_mag.00g001140-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M_mag.00g001150-v1.0.a1	2	1	0	0	0	0	0	3	0	5	0	0	0	2	0	0	0	0	0	3	0	0	0	1
M_mag.00g001160-v1.0.a1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M_mag.00g001170-v1.0.a1	47	164	78	110	70	58	26	86	59	176	62	88	26	103	145	151	33	42	46	50	58	91	95	64
M_mag.00g001180-v1.0.a1	14	61	61	37	10	8	0	51	15	174	13	68	5	50	103	5	4	40	13	26	28	3	26	60
M_mag.00g001190-v1.0.a1	13	35	17	12	8	16	0	14	21	46	8	18	3	20	70	3	3	4	7	27	15	6	7	24
M_mag.00g001200-v1.0.a1	2	0	0	4	3	0	0	3	1	1	2	7	0	4	5	0	5	0	2	3	0	2	1	0
M_mag.00g001210-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001220-v1.0.a1	92	79	12	65	65	18	14	44	31	29	16	67	64	50	34	40	51	15	94	11	9	12	75	50
M_mag.00g001230-v1.0.a1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001240-v1.0.a1	5	11	10	2	2	4	0	8	3	29	6	13	0	12	16	2	0	0	0	7	6	0	13	8
M_mag.00g001250-v1.0.a1	4	5	0	0	0	0	0	2	0	12	0	5	0	1	0	0	0	0	0	1	1	0	0	0
M_mag.00g001260-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001270-v1.0.a1	20	62	26	40	34	40	9	15	27	10	35	45	50	10	26	8	23	28	35	10	4	6	64	44
M_mag.00g001280-v1.0.a1	7	32	20	7	3	6	2	29	6	17	15	23	5	14	24	12	12	3	20	14	8	3	27	21
M_mag.00g001290-v1.0.a1	89	93	104	98	75	61	40	72	48	50	69	114	86	24	91	78	146	148	47	56	54	44	38	110
M_mag.00g001300-v1.0.a1	0	0	0	0	0	0	0	0	0	8	0	0	0	2	4	0	0	0	4	0	0	0	0	0
M_mag.00g001310-v1.0.a1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
M_mag.00g001320-v1.0.a1	0	0	0	0	0	0	0	0	0	2	1	5	0	1	1	0	0	0	0	4	0	0	0	0
M_mag.00g001330-v1.0.a1	2	0	0	5	0	0	1	1	1	1	0	4	3	3	2	0	0	0	1	2	0	0	0	0
M_mag.00g001340-v1.0.a1	0	0	0	3	4	0	0	0	0	0	0	3	3	0	4	0	0	0	0	0	0	0	0	0
M_mag.00g001350-v1.0.a1	2	20	28	6	0	28	176	25	21	5	150	32	22	14	10	342	130	181	93	23	3	249	20	7
M_mag.00g001360-v1.0.a1	171	601	428	356	272	296	726	391	179	722	1055	355	381	237	226	1980	930	2508	1190	409	375	1466	380	266
M_mag.00g001370-v1.0.a1	37	89	65	85	40	54	105	52	23	40	126	23	35	36	37	540	169	296	114	37	36	246	43	52
M_mag.00g001380-v1.0.a1	0	10	0	2	0	3	3	6	0	2	10	7	7	0	5	1	6	0	15	0	2	13	0	3
M_mag.00g001390-v1.0.a1	190	371	125	196	183	113	101	139	112	104	141	207	191	69	210	131	302	106	147	117	99	74	198	175
M_mag.00g001400-v1.0.a1	136	341	89	217	92	114	42	128	68	176	95	161	129	121	231	44	177	86	106	42	79	24	188	176
M_mag.00g001410-v1.0.a1	0	0	0	0	0	0	0	0	1	5	0	5	1	2	0	0	0	0	0	4	1	0	0	3
M_mag.00g001420-v1.0.a1	1	3	8	2	0	0	0	1	1	4	0	4	0	13	2	0	0	0	0	10	0	1	1	1
M_mag.00g001430-v1.0.a1	7	17	17	9	0	3	1	6	7	32	10	9	0	5	23	4	0	1	6	6	14	0	2	3
M_mag.00g001440-v1.0.a1	274	558	265	556	332	299	216	227	201	233	156	391	256	204	272	273	522	184	410	206	67	171	424	296
M_mag.00g001450-v1.0.a1	17	84	34	16	20	20	12	30	15	10	10	42	11	16	15	20	37	13	10	19	4	16	26	15
M_mag.00g001460-v1.0.a1	11	54	11	24	19	22	14	1	7	7	16	12	17	20	6	6	32	18	22	17	16	5	23	11
M_mag.00g001470-v1.0.a1	49	102	24	34	56	65	9	30	32	9	26	65	64	25	28	19	94	94	28	37	11	46	39	114
M_mag.00g001480-v1.0.a1	1	5	0	2	2	6	12	3	0	0	2	5	10	4	0	15	4	57	10	6	1	15	1	2
M_mag.00g001490-v1.0.a1	6	17	14	15	3	0	4	8	1	6	4	7	4	0	14	19	9	19	19	0	0	11	6	5
M_mag.00g001500-v1.0.a1	1	0	4	3	8	9	5	0	4	0	7	12	6	0	3	19	16	10	1	0	0	5	2	0
M_mag.00g001510-v1.0.a1	7	6	3	12	4	6	6	4	0	0	1	9	0	0	4	6	8	4	11	1	4	0	0	1
M_mag.00g001520-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
M_mag.00g001530-v1.0.a1	13	28	29	29	5	27	1	25	5	88	23	43	6	27	67	0	0	45	0	17	60	13	31	40
M_mag.00g001540-v1.0.a1	0	0	1	1	0	4	0	0	0	0	3	3	0	0	0	0	0	0	8	0	0	0	0	0
M_mag.00g001550-v1.0.a1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g001560-v1.0.a1	1	0	0	1	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	5	0	0	0	0
M_mag.00g001570-v1.0.a1	0	0	3	5	0	1	0	7	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	1
M_mag.00g001580-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
M_mag.00g001590-v1.0.a1	41	82	27	67	25	20	25	28	17	27	46	60	52	21	35	14	57	18	46	34	32	20	49	34
M_mag.00g001600-v1.0.a1	148	259	164	251	164	93	108	101	123	211	158	199	117	88	217	97	201	157	194	124	72	67	204	191
M_mag.00g001610-v1.0.a1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0
M_mag.00g001620-v1.0.a1	3	1	4	2	1	0	1	2	0	0	0	0	13	0	0	0	5	0	5	0	0	0	1	4
M_mag.00g001630-v1.0.a1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	4	0	0	5	2	0
M_mag.00g001640-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
M_mag.00g001650-v1.0.a1	0	0	2	0	3	6	0	2	0	0	1	0	0	0	1	0	2	0	1	0	1	0	2	0
M_mag.00g001660-v1.0.a1	3	4	0	4	4	0	4	5	2	3	0	1	0	2	4	0	0	0	0	0	1	0	2	3
M_mag.00g001670-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001680-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M_mag.00g001690-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001700-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M_mag.00g001710-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M_mag.00g001720-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001730-v1.0.a1	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0
M_mag.00g001740-v1.0.a1	18	34	37	67	24	12	20	13	27	41	33	42	24	9	67	25	23	15	14	17	9	18	16	24
M_mag.00g001750-v1.0.a1	35	29	12	18	3	1	3	0	4	14	6	0	11	10	23	17	14	30	27	22	5	0	5	8
M_mag.00g001760-v1.0.a1	6	25	25	5	8	6	7	18	6	66	5	36	3	37	122	1	4	12	1	25	21	0	9	17
M_mag.00g001770-v1.0.a1	43	79	8	62	24	20	16	50	24	8	28	37	41	7	22	27	36	17	15	25	20	1	25	54
M_mag.00g001780-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M_mag.00g001790-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g001800-v1.0.a1	9	27	1	31	16	1	3	9	6	0	6	10	15	4	12	0	6	4	0	11	7	2	30	12
M_mag.00g001810-v1.0.a1	13	33	0	28	26	4	8	11	19	7	12	36	10	10	10	7	12	0	0	14	13	0	9	23
M_mag.00g001820-v1.0.a1	8	26	13	37	9	6	5	17	5	5	16	24	15	15	10	2	7	2	0	6	1	2	14	10
M_mag.00g001830-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g001840-v1.0.a1	12	12	18	35	8	2	6	17	6	30	3	21	5	36	41	2	6	12	11	15	9	19	15	30
